date,intersection,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol
2019-03-12,CHILCO ST AND BEACH AV,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,,11,38.0,,3,242.0,,12,,,4,189.0,17:00 - 18:00,,23,31.0,,14,324.0,,60,,,5,228.0,,,,,,,,,,,,,
2019-08-13,CHILCO ST AND BEACH AV,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,41,23,29.0,33,10,218.0,6,6,,37,17,163.0,17:00 - 18:00,34,55,25.0,65,39,363.0,35,68,,70,39,309.0,,,,,,,,,,,,,
2019-05-22,SMITHE ST AND HAMILTON ST,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,9,268,104.0,166,176,1765.0,5,197,80.0,,129,,16:40 - 17:40,14,393,219.0,101,243,1622.0,6,280,86.0,1,280,,,,,,,,,,,,,,
2019-01-24,HAMILTON ST AND W PENDER ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,,144,33.0,37,103,531.0,1,193,60.0,11,109,310.0,17:00 - 18:00,,139,46.0,5,121,427.0,1,330,75.0,43,141,532.0,,,,,,,,,,,,,
2019-10-31,E 12TH AV AND HEBB AV,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,3,432,699.0,37,221,171.0,6,193,1109.0,87,593,102.0,16:25 - 17:25,2,238,880.0,30,376,301.0,2,330,862.0,34,459,99.0,,,,,,,,,,,,,
2019-02-05,RENFREW ST AND E BROADWAY,partly cloudy,,True,True,False,True,True,True,07:50 - 08:50,,62,731.0,,75,1526.0,1,44,580.0,,62,1130.0,17:00 - 18:00,2,51,838.0,,20,628.0,,17,515.0,1,72,1619.0,,,,,,,,,,,,,
2019-07-03,RENFREW ST AND E GEORGIA ST,cloudy,,True,True,False,True,True,True,07:55 - 08:55,2,,368.0,,16,102.0,2,,836.0,,18,33.0,16:40 - 17:40,5,2,638.0,1,24,35.0,5,1,728.0,1,10,130.0,,,,,,,,,,,,,
2019-07-03,E HASTINGS ST AND RENFREW ST,cloudy,,True,True,False,True,True,True,07:40 - 08:40,2,64,363.0,2,70,1660.0,1,39,786.0,2,47,755.0,16:50 - 17:50,2,98,830.0,1,72,1004.0,1,96,715.0,5,66,1574.0,,,,,,,,,,,,,
2019-07-04,VENABLES ST AND RENFREW ST,cloudy,,True,True,False,True,True,True,08:00 - 09:00,2,9,439.0,8,8,120.0,1,27,748.0,1,14,45.0,16:15 - 17:15,1,7,708.0,4,15,64.0,1,11,762.0,2,16,51.0,,,,,,,,,,,,,
2019-01-16,RICHARDS ST AND DUNSMUIR ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,7,520,642.0,187,171,1039.0,,277,,25,232,,16:40 - 17:40,15,655,713.0,44,279,821.0,1,521,,176,268,,,,,,,,,,,,,,
2019-01-29,HELMCKEN ST AND RICHARDS ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,9,135,511.0,6,82,53.0,2,54,,2,132,3.0,17:00 - 18:00,17,281,998.0,11,197,102.0,1,270,,10,303,14.0,,,,,,,,,,,,,
2019-01-10,RICHARDS ST AND NELSON ST,cloudy,,True,True,False,True,True,True,07:55 - 08:55,13,200,593.0,,78,,,150,,21,159,1332.0,16:45 - 17:45,26,440,1295.0,1,414,,,456,,39,242,1283.0,,,,,,,,,,,,,
2019-08-13,PACIFIC ST AND RICHARDS ST,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,,54,238.0,,134,654.0,,67,92.0,,123,626.0,16:55 - 17:55,,94,438.0,,204,850.0,,99,87.0,,244,714.0,,,,,,,,,,,,,
2019-11-20,PACIFIC ST AND RICHARDS ST,sunny,,True,True,False,True,True,True,08:00 - 09:00,,42,228.0,11,96,858.0,4,91,142.0,61,172,1153.0,16:55 - 17:55,8,60,417.0,22,186,912.0,1,44,52.0,16,231,1297.0,,,,,,,,,,,,,
2019-01-16,RICHARDS ST AND ROBSON ST,partly cloudy,,True,True,False,True,True,True,07:50 - 08:50,,551,701.0,,404,158.0,,399,,,295,124.0,17:00 - 18:00,,1700,905.0,,674,179.0,,883,,,695,239.0,,,,,,,,,,,,,
2019-02-06,CLARK DRIVE AND E 10TH AV,partly cloudy,,True,True,False,True,True,True,07:45 - 08:45,,43,835.0,56,11,15.0,1,12,1242.0,43,35,2.0,16:30 - 17:30,,57,1557.0,23,25,12.0,2,27,926.0,54,16,7.0,,,,,,,,,,,,,
2019-01-15,RICHARDS ST AND W PENDER ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,4,193,535.0,20,134,591.0,,201,,8,228,522.0,16:50 - 17:50,10,374,586.0,6,202,469.0,,469,,49,361,675.0,,,,,,,,,,,,,
2019-01-09,CLARK DRIVE AND E 6TH AV,rain,,True,True,False,True,True,True,08:00 - 09:00,,,972.0,,17,,,95,1422.0,,63,904.0,16:15 - 17:15,,,1254.0,,,,,39,1031.0,,46,1342.0,,,,,,,,,,,,,
2019-01-31,E HASTINGS ST AND CLARK DRIVE,cloudy,,True,True,False,True,True,True,08:00 - 09:00,,23,345.0,,11,1783.0,,16,643.0,,22,521.0,16:50 - 17:50,,31,418.0,,20,1109.0,,34,841.0,,10,1481.0,,,,,,,,,,,,,
2019-01-15,RICHARDS ST AND W PENDER ST,cloudy,,True,True,False,True,True,True,08:00 - 09:00,4,193,535.0,20,134,591.0,,201,,8,228,522.0,16:50 - 17:50,10,374,586.0,6,202,469.0,,469,,49,361,675.0,,,,,,,,,,,,,
2019-02-07,CLARK DRIVE AND POWELL ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,1,7,1.0,39,8,1249.0,19,15,383.0,3,3,575.0,16:35 - 17:35,,2,13.0,3,11,898.0,2,13,399.0,22,3,1427.0,,,,,,,,,,,,,
2019-03-27,VENABLES ST AND CLARK DRIVE,partly cloudy,,True,True,False,True,True,True,07:40 - 08:40,,37,698.0,3,4,432.0,2,19,832.0,2,30,532.0,16:45 - 17:45,6,79,960.0,1,31,187.0,1,44,758.0,3,79,1474.0,,,,,,,,,,,,,
2019-12-10,COLLINGWOOD ST AND W KING EDWARD AV,rain,,True,True,True,True,False,True,08:00 - 09:00,2,12,47.0,1,136,577.0,1,25,46.0,,3,501.0,,,,,,,,,,,,,,14:45 - 15:45,3,43,70.0,3,157,560.0,,51,48.0,2,1,543.0
2019-12-04,W 4TH AV AND COLLINGWOOD ST,partly cloudy,,True,True,True,True,True,True,07:55 - 08:55,1,7,29.0,,32,985.0,3,7,14.0,,29,794.0,16:35 - 17:35,1,3,31.0,,11,718.0,,7,16.0,,63,1178.0,11:30 - 12:30,1,3,15.0,1,10,670.0,2,19,17.0,,39,741.0
2019-12-04,Musqueamview St & W 4th Av,partly cloudy,,True,True,True,True,True,True,07:50 - 08:50,1,8,35.0,,23,1088.0,3,13,29.0,3,9,904.0,16:50 - 17:50,6,40,37.0,,9,879.0,1,20,29.0,1,10,1180.0,11:35 - 12:35,1,12,27.0,1,12,743.0,1,9,22.0,1,6,826.0
2019-07-30,Penticton&Pandora,partly cloudy,,True,True,False,True,True,True,07:40 - 08:40,16,5,34.0,6,17,24.0,6,12,17.0,4,10,6.0,16:50 - 17:50,18,11,29.0,2,23,24.0,19,6,52.0,3,27,15.0,,,,,,,,,,,,,
2020-08-25,GRANVILLE ST AND W 5TH AV,partly cloudy,,True,True,True,True,True,True,08:00 - 09:00,1,,748.0,,29,79.0,,,1029.0,,13,,16:20 - 17:20,3,,1114.0,,111,127.0,4,,994.0,,20,,15:00 - 16:00,1,,962.0,,50,125.0,9,,900.0,,24,
