Study date,Year,Project,OBJECTID,Intersection,File Name,Const_URL,FileType
2017-07-26,2017,Turning Movement Count,8859,W 11TH AV AND ALDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 11TH AV - 2017-07-26,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8859/attachments/10032,xlsx
2017-07-26,2017,Turning Movement Count,8860,ALDER ST AND W 13TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 13TH AV - 2017-07-26,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8860/attachments/10033,xlsx
2017-07-26,2017,Turning Movement Count,8861,ALDER ST AND W 14TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 14TH AV - 2017-07-26,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8861/attachments/10034,xlsx
2017-01-10,2017,Turning Movement Count,8862,W 6TH AV AND ALDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 6TH AV - 2017-01-10,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8862/attachments/10035,xlsx
2017-08-01,2017,Turning Movement Count,8863,E 14TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 14TH AV - 2017-08-01,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8863/attachments/10036,xlsx
2017-05-03,2017,Turning Movement Count,8864,ALMA ST AND W 10TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALMA ST & W 10TH AV - 2017-05-03,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8864/attachments/10037,xlsx
2017-02-07,2017,Turning Movement Count,8865,ALMA ST AND W 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALMA ST & W 4TH AV - 2017-02-07,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8865/attachments/10038,xlsx
2017-05-16,2017,Turning Movement Count,8866,Anderson St & W 2nd Av,ENG - TDM - TURNING MOVEMENT COUNT - ANDERSON ST & W 2ND AV - 2017-05-16,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8866/attachments/10039,xlsx
2017-08-31,2017,Turning Movement Count,8867,Anderson St & W 4th Av,ENG - TDM - TURNING MOVEMENT COUNT - ANDERSON ST & W 4TH AV - 2017-08-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8867/attachments/10040,xlsx
2017-03-22,2017,Turning Movement Count,8868,ARBUTUS ST AND CORNWALL AV,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & CORNWALL AV - 2017-03-22,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8868/attachments/10041,xlsx
2017-05-18,2017,Turning Movement Count,8869,PACIFIC BOULEVARD AND DAVIE ST,ENG - TDM - TURNING MOVEMENT COUNT - PACIFIC BLVD & DAVIE ST - 2017-05-18,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8869/attachments/10042,xlsx
2017-06-13,2017,Turning Movement Count,8870,ARBUTUS ST AND W 12TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W 12TH AV - 2017-06-13,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8870/attachments/10043,xlsx
2017-06-07,2017,Turning Movement Count,8871,W 16TH AV AND ARBUTUS ST,ENG - TDM - TURNING MOVEMENT COUNT - ARBUTUS ST & W 16TH AV - 2017-06-07,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8871/attachments/10044,xlsx
